service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10,0,0,0,0,0,0,0,20221110,20230610
1004,0,0,0,0,0,0,0,20221110,20230610
101,0,0,0,0,0,0,0,20221110,20230610
1012,0,0,0,0,0,0,0,20221110,20230610
1045,0,0,0,0,0,0,0,20221110,20230610
108,0,0,0,0,0,0,0,20221110,20230610
109,0,0,0,0,0,0,0,20221110,20230610
11,0,0,0,0,0,0,0,20221110,20230610
110,0,0,0,0,0,0,0,20221110,20230610
111,0,0,0,0,0,0,0,20221110,20230610
112,0,0,0,0,0,0,0,20221110,20230610
113,0,0,0,0,0,0,0,20221110,20230610
1150,0,0,0,0,0,0,0,20221110,20230610
1154,0,0,0,0,0,0,0,20221110,20230610
1183,0,0,0,0,0,0,0,20221110,20230610
1194,0,0,0,0,0,0,0,20221110,20230610
12,0,0,0,0,0,0,0,20221110,20230610
1218,1,1,1,1,1,1,1,20221110,20230610
1229,1,1,1,1,1,0,1,20221110,20230610
1243,0,0,0,0,0,0,0,20221110,20230610
1251,0,0,0,0,0,0,0,20221110,20230610
1256,0,0,0,0,0,0,0,20221110,20230610
1283,0,0,0,0,0,0,0,20221110,20230610
132,0,0,0,0,0,0,0,20221110,20230610
1335,0,0,0,0,0,0,0,20221110,20230610
1434,0,0,0,0,0,0,0,20221110,20230610
146,0,0,0,0,0,0,0,20221110,20230610
160,0,0,0,0,0,0,0,20221110,20230610
161,1,1,1,1,1,1,0,20221110,20230610
162,1,1,1,1,1,0,1,20221110,20230610
163,1,1,1,1,1,1,1,20221110,20230610
1636,0,0,0,0,1,0,0,20221110,20230610
164,0,0,0,0,0,0,0,20221110,20230610
1683,0,0,0,0,1,0,0,20221110,20230610
169,1,1,1,1,1,1,0,20221110,20230610
1914,0,0,0,0,0,1,0,20221110,20230610
1977,0,0,0,0,0,0,0,20221110,20230610
2,0,0,0,0,0,1,0,20221110,20230610
208,0,0,0,0,0,0,0,20221110,20230610
209,0,0,0,0,0,0,0,20221110,20230610
210,0,0,0,0,0,0,0,20221110,20230610
211,0,0,0,0,0,0,0,20221110,20230610
2115,0,0,0,0,0,0,1,20221110,20230610
2117,1,1,1,1,1,1,0,20221110,20230610
2118,0,0,0,0,1,1,0,20221110,20230610
2119,1,1,1,1,0,0,0,20221110,20230610
212,0,0,0,0,0,0,0,20221110,20230610
213,0,0,0,0,0,0,0,20221110,20230610
2134,1,1,1,1,0,0,1,20221110,20230610
214,0,0,0,0,0,0,0,20221110,20230610
2141,1,1,1,1,1,0,0,20221110,20230610
2142,0,0,0,0,0,0,0,20221110,20230610
2148,0,0,0,0,0,0,0,20221110,20230610
2149,0,0,0,0,0,0,0,20221110,20230610
215,0,0,0,0,0,0,0,20221110,20230610
2150,0,0,0,0,0,0,0,20221110,20230610
2151,0,0,0,0,0,0,0,20221110,20230610
2155,0,0,0,0,0,1,1,20221110,20230610
216,0,0,0,0,0,0,0,20221110,20230610
217,0,0,0,0,0,0,0,20221110,20230610
2172,1,1,1,1,1,1,0,20221110,20230610
2173,0,0,0,0,0,0,1,20221110,20230610
2174,0,0,0,0,0,1,1,20221110,20230610
2175,1,1,1,1,1,1,0,20221110,20230610
2176,0,0,0,0,0,1,0,20221110,20230610
2177,1,1,1,1,0,0,1,20221110,20230610
2178,0,0,0,0,1,1,0,20221110,20230610
2179,1,1,1,1,0,0,0,20221110,20230610
