stop_id,stop_name,stop_lat,stop_lon,stop_desc,zone_id,parent_station,wheelchair_boarding,platform_code
000300004001,S+U Potsdamer Platz Bhf (Berlin),52.508998,13.378047,Bahnsteig U2 Gleis 2,5555 S+U Potsdamer Platz Bhf (Berlin),de:11000:900100020,,
000300004160,S+U Potsdamer Platz Bhf (Berlin),52.509072,13.377905,Bahnsteig U2 Gleis 1,5555 S+U Potsdamer Platz Bhf (Berlin),de:11000:900100020,,
000300106001,U Uhlandstr. (Berlin),52.502832,13.326930,Bahnsteig U1,5555 U Uhlandstr. (Berlin),de:11000:900023301,,
de:11000:900001201:1:50,S+U Westhafen (Berlin),52.536218,13.344329,Bahnsteig S-Bahn Gleis 1,5555 S+U Westhafen (Berlin),de:11000:900001201,,1
de:11000:900001201:1:51,S+U Westhafen (Berlin),52.536318,13.344298,Bahnsteig S-Bahn Gleis 2,5555 S+U Westhafen (Berlin),de:11000:900001201,,2
de:11000:900001201::1,S+U Westhafen (Berlin),52.536766,13.342507,Bahnsteig 1 U9,5555 S+U Westhafen (Berlin),de:11000:900001201,,
de:11000:900001201::2,S+U Westhafen (Berlin),52.536744,13.342635,Bahnsteig 2 U9,5555 S+U Westhafen (Berlin),de:11000:900001201,,
de:11000:900002201::1,U Birkenstr. (Berlin),52.532192,13.341235,U Bahnsteig Gleis 1,5555 U Birkenstr. (Berlin),de:11000:900002201,,
de:11000:900002201::2,U Birkenstr. (Berlin),52.532191,13.341410,U Bahnsteig Gleis 2,5555 U Birkenstr. (Berlin),de:11000:900002201,,
de:11000:900003101::1,U Hansaplatz (Berlin),52.517873,13.341988,U Bahnsteig Gleis 1,5555 U Hansaplatz (Berlin),de:11000:900003101,,
de:11000:900003101::2,U Hansaplatz (Berlin),52.517882,13.342161,U Bahnsteig Gleis 2,5555 U Hansaplatz (Berlin),de:11000:900003101,,
de:11000:900003102:1:50,S Bellevue (Berlin),52.519946,13.348090,S-Bahnsteig Gleis 3,5555 S Bellevue (Berlin),de:11000:900003102,,
de:11000:900003102:1:51,S Bellevue (Berlin),52.520012,13.348101,S-Bahnsteig Gleis 4,5555 S Bellevue (Berlin),de:11000:900003102,,
de:11000:900003103:1:50,S Tiergarten (Berlin),52.514419,13.336536,Bahnsteig Gleis 3,5555 S Tiergarten (Berlin),de:11000:900003103,,
de:11000:900003103:1:51,S Tiergarten (Berlin),52.514440,13.336420,Bahnsteig Gleis 4,5555 S Tiergarten (Berlin),de:11000:900003103,,
de:11000:900003104::1,U Turmstr. (Berlin),52.526136,13.341178,U Bahnsteig Gleis 1,5555 U Turmstr. (Berlin),de:11000:900003104,,
de:11000:900003104::2,U Turmstr. (Berlin),52.526128,13.341406,U Bahnsteig Gleis 2,5555 U Turmstr. (Berlin),de:11000:900003104,,
de:11000:900003201:3:54,S+U Berlin Hauptbahnhof,52.525147,13.369354,S-Bahnsteig Gleis 15,5555 S+U Berlin Hauptbahnhof,de:11000:900003201,,15
de:11000:900003201:3:55,S+U Berlin Hauptbahnhof,52.525261,13.369313,S-Bahnsteig Gleis 16,5555 S+U Berlin Hauptbahnhof,de:11000:900003201,,16
de:11000:900003201::10,S+U Berlin Hauptbahnhof,52.525225,13.370030,U Bahnsteig Gleis 2,5555 S+U Berlin Hauptbahnhof,de:11000:900003201,,
de:11000:900003201::2,S+U Berlin Hauptbahnhof,52.526583,13.369713,Tramsteig Invalidenstr. ht. Friedrich-L.-U. Pos. 4,5555 S+U Berlin Hauptbahnhof,de:11000:900003201,,
de:11000:900003201::3,S+U Berlin Hauptbahnhof,52.526556,13.369735,Tramsteig Invalidenstr. v. Friedrich-L.-U. Pos. 5,5555 S+U Berlin Hauptbahnhof,de:11000:900003201,,
de:11000:900003254::1,U Bundestag (Berlin),52.520156,13.373086,U Bahnsteig Gleis 1,5555 U Bundestag (Berlin),de:11000:900003254,,
de:11000:900003254::5,U Bundestag (Berlin),52.520109,13.372842,U Bahnsteig Gleis 2,5555 U Bundestag (Berlin),de:11000:900003254,,
de:11000:900003255::3,Clara-Jaschke-Str. (Berlin),52.525146,13.366224,Tramsteig Clara-Jaschke-Straße vor Invalidenstraße,5555 Clara-Jaschke-Str. (Berlin),,,
de:11000:900003257::1,Lesser-Ury-Weg (Berlin),52.524246,13.361950,Tram-u. Bushalt Invalidenstraße ht. Lesser-Ury-Weg,5555 Lesser-Ury-Weg (Berlin),,,
de:11000:900003259::2,Lüneburger Str. (Berlin),52.523099,13.361844,Tramsteig Alt-Moabit vor Lüneburger Straße,5555 Lüneburger Str. (Berlin),de:11000:900003259,,
de:11000:900005201::1,U Kurfürstenstr. (Berlin),52.500152,13.361504,U Bahnsteig Gleis 1,5555 U Kurfürstenstr. (Berlin),de:11000:900005201,,
de:11000:900005201::2,U Kurfürstenstr. (Berlin),52.500068,13.361436,U Bahnsteig Gleis 2,5555 U Kurfürstenstr. (Berlin),de:11000:900005201,,
de:11000:900005252::1,U Mendelssohn-Bartholdy-Park (Berlin),52.503806,13.374862,U Bahnsteig Gleis 1,5555 U Mendelssohn-Bartholdy-Park (Berlin),de:11000:900005252,,
de:11000:900005252::2,U Mendelssohn-Bartholdy-Park (Berlin),52.503800,13.374904,Bahnsteig U2 Gleis 2,5555 U Mendelssohn-Bartholdy-Park (Berlin),de:11000:900005252,,
de:11000:900007102:1:50,S+U Gesundbrunnen Bhf (Berlin),52.549316,13.389883,S-Bahnsteig Gleis 1,5555 S+U Gesundbrunnen Bhf (Berlin),de:11000:900007102,,
de:11000:900007102:1:51,S+U Gesundbrunnen Bhf (Berlin),52.549212,13.389895,S-Bahnsteig Gleis 2,5555 S+U Gesundbrunnen Bhf (Berlin),de:11000:900007102,,
de:11000:900007102:2:52,S+U Gesundbrunnen Bhf (Berlin),52.549131,13.389907,S-Bahnsteig Gleis 3,5555 S+U Gesundbrunnen Bhf (Berlin),de:11000:900007102,,
de:11000:900007102:2:53,S+U Gesundbrunnen Bhf (Berlin),52.549033,13.389919,S-Bahnsteig Gleis 4,5555 S+U Gesundbrunnen Bhf (Berlin),de:11000:900007102,,
de:11000:900007102::1,S+U Gesundbrunnen Bhf (Berlin),52.548736,13.388263,U-Bahnsteig Gleis 1,5555 S+U Gesundbrunnen Bhf (Berlin),de:11000:900007102,,
de:11000:900007102::2,S+U Gesundbrunnen Bhf (Berlin),52.548802,13.388396,U-Bahnsteig Gleis 2,5555 S+U Gesundbrunnen Bhf (Berlin),de:11000:900007102,,
de:11000:900007103::1,U Voltastr. (Berlin),52.542101,13.392932,U Bahnsteig Gleis 1,5555 U Voltastr. (Berlin),de:11000:900007103,,
de:11000:900007103::2,U Voltastr. (Berlin),52.542150,13.393114,U Bahnsteig Gleis 2,5555 U Voltastr. (Berlin),de:11000:900007103,,
de:11000:900007104:1:50,S Nordbahnhof (Berlin),52.532334,13.387507,S-Bahnsteig Gleis 1,5555 S Nordbahnhof (Berlin),de:11000:900007104,,
de:11000:900007104:2:52,S Nordbahnhof (Berlin),52.532421,13.387655,S-Bahnsteig Gleis 3,5555 S Nordbahnhof (Berlin),de:11000:900007104,,
de:11000:900007104::1,S Nordbahnhof (Berlin),52.531641,13.388912,Tram u. Bussteig Invalidenstraße vor Gartenstraße,5555 S Nordbahnhof (Berlin),,,
de:11000:900007104::2,S Nordbahnhof (Berlin),52.531683,13.388813,Tram u. Bussteig Invalidenstraße ht. Gartenstraße,5555 S Nordbahnhof (Berlin),,,
de:11000:900007104::3,S Nordbahnhof (Berlin),52.532280,13.387629,Tramsteig S Nordbahnhof vor Invalidenstraße,5555 S Nordbahnhof (Berlin),,,
de:11000:900007104::4,S Nordbahnhof (Berlin),52.532292,13.387672,Tramsteig S Nordbahnhof ht. Invalidenstraße,5555 S Nordbahnhof (Berlin),,,
de:11000:900007105::3,"Berlin, Wolliner Str.",52.540066,13.402119,Tramsteig Bernauer Straße vor Wolliner Straße,"5555 Berlin, Wolliner Str.",,,
de:11000:900007105::4,"Berlin, Wolliner Str.",52.539637,13.401198,Tramsteig Bernauer Straße vor Wolliner Straße,"5555 Berlin, Wolliner Str.",,,
de:11000:900007110::1,U Bernauer Str. (Berlin),52.537276,13.396665,U Bahnsteig Gleis 1,5555 U Bernauer Str. (Berlin),de:11000:900007110,,
de:11000:900007110::2,U Bernauer Str. (Berlin),52.537319,13.396828,U Bahnsteig Gleis 2,5555 U Bernauer Str. (Berlin),de:11000:900007110,,
de:11000:900007110::3,U Bernauer Str. (Berlin),52.538531,13.396637,Tramhalt Bernauer Straße vor Brunnenstraße,5555 U Bernauer Str. (Berlin),,,
de:11000:900007110::4,U Bernauer Str. (Berlin),52.537997,13.395400,Tramhalt Bernauer Straße vor Brunnenstraße,5555 U Bernauer Str. (Berlin),,,
de:11000:900007150::2,Gedenkstätte Berliner Mauer (Berlin),52.535846,13.390800,Tramhalt und Bushalt Bernauer Straße ht. Ackerstraße,5555 Gedenkstätte Berliner Mauer (Berlin),,,
de:11000:900007150::3,Gedenkstätte Berliner Mauer (Berlin),52.535776,13.390542,Tramhalt Bernauer Straße vor Ackerstraße,5555 Gedenkstätte Berliner Mauer (Berlin),,,
de:11000:900007160::3,Grüntaler Str. (Berlin),52.555363,13.390579,Tramsteig Osloer Straße vor Grüntaler Straße,5656 Grüntaler Str. (Berlin),de:11000:900007160,,
de:11000:900007160::4,Grüntaler Str. (Berlin),52.555395,13.390576,Tramsteig Osloer Straße hinter Grüntaler Straße,5656 Grüntaler Str. (Berlin),de:11000:900007160,,
de:11000:900008101:1:50,S Humboldthain (Berlin),52.544883,13.379364,S-Bahnsteig Gleis 1,5555 S Humboldthain (Berlin),de:11000:900008101,,1
de:11000:900008101:1:51,S Humboldthain (Berlin),52.544856,13.379497,S-Bahnsteig Gleis 2,5555 S Humboldthain (Berlin),de:11000:900008101,,2
de:11000:900008102::1,U Reinickendorfer Str. (Berlin),52.540046,13.370176,U Bahnsteig Gleis 1,5555 U Reinickendorfer Str. (Berlin),de:11000:900008102,,
de:11000:900008102::2,U Reinickendorfer Str. (Berlin),52.540096,13.370265,U Bahnsteig Gleis 2,5555 U Reinickendorfer Str. (Berlin),de:11000:900008102,,
de:11000:900009101::1,U Amrumer Str. (Berlin),52.542370,13.350099,U Bahnsteig Gleis 1,5656 U Amrumer Str. (Berlin),de:11000:900009101,,
de:11000:900009101::2,U Amrumer Str. (Berlin),52.542294,13.350191,U Bahnsteig Gleis 2,5656 U Amrumer Str. (Berlin),de:11000:900009101,,
de:11000:900009102::1,U Leopoldplatz (Berlin),52.546389,13.359121,U Bahnsteig Gleis 1 (oben),5656 U Leopoldplatz (Berlin),de:11000:900009102,,
de:11000:900009102::2,U Leopoldplatz (Berlin),52.546419,13.359163,U Bahnsteig Gleis 2 (oben),5656 U Leopoldplatz (Berlin),de:11000:900009102,,
de:11000:900009102::3,U Leopoldplatz (Berlin),52.546448,13.359059,U Bahnsteig Gleis 1 (U9),5656 U Leopoldplatz (Berlin),de:11000:900009102,,
de:11000:900009102::4,U Leopoldplatz (Berlin),52.546349,13.359230,U Bahnsteig Gleis 2 (U9),5656 U Leopoldplatz (Berlin),de:11000:900009102,,
de:11000:900009103::1,U Seestr. (Berlin),52.549731,13.353007,U Bahnsteig Gleis 1,5656 U Seestr. (Berlin),de:11000:900009103,,
de:11000:900009103::2,U Seestr. (Berlin),52.549813,13.353142,U Bahnsteig Gleis 2,5656 U Seestr. (Berlin),de:11000:900009103,,
de:11000:900009103::4,U Seestr. (Berlin),52.550104,13.351365,Tramsteig Seestraße vor Müllerstraße,5656 U Seestr. (Berlin),de:11000:900009103,,
de:11000:900009103::5,U Seestr. (Berlin),52.550129,13.351328,Tramsteig Seestraße ht. Müllerstraße,5656 U Seestr. (Berlin),de:11000:900009103,,
de:11000:900009104:1:50,S+U Wedding (Berlin),52.543042,13.367693,S-Bahnsteig Gleis 1,5555 S+U Wedding (Berlin),de:11000:900009104,,1
de:11000:900009104:1:51,S+U Wedding (Berlin),52.543102,13.367604,S-Bahnsteig Gleis 2,5555 S+U Wedding (Berlin),de:11000:900009104,,2
de:11000:900009104::1,S+U Wedding (Berlin),52.543028,13.364987,U Bahnsteig Gleis 1,5555 S+U Wedding (Berlin),de:11000:900009104,,
de:11000:900009104::2,S+U Wedding (Berlin),52.543092,13.365090,U Bahnsteig Gleis 2,5555 S+U Wedding (Berlin),de:11000:900009104,,
de:11000:900009105::5,Seestr./Amrumer Str. (Berlin),52.546575,13.344656,Tramsteig Seestraße hinter Amrumer Straße,5656 Seestr./Amrumer Str. (Berlin),de:11000:900009105,,
de:11000:900009105::6,Seestr./Amrumer Str. (Berlin),52.546612,13.344599,Tramsteig Seestraße vor Amrumer Straße,5656 Seestr./Amrumer Str. (Berlin),de:11000:900009105,,
de:11000:900009201::1,U Nauener Platz (Berlin),52.551666,13.367384,U Bahnsteig Gleis 1,5656 U Nauener Platz (Berlin),de:11000:900009201,,
de:11000:900009201::2,U Nauener Platz (Berlin),52.551585,13.367543,U Bahnsteig Gleis 2,5656 U Nauener Platz (Berlin),de:11000:900009201,,
de:11000:900009202::1,U Osloer Str. (Berlin),52.557098,13.373196,U Bahnsteig Gleis 1 (unten),5656 U Osloer Str. (Berlin),de:11000:900009202,,
de:11000:900009202::2,U Osloer Str. (Berlin),52.557175,13.373355,U Bahnsteig Gleis 2 (unten),5656 U Osloer Str. (Berlin),de:11000:900009202,,
de:11000:900009202::3,U Osloer Str. (Berlin),52.557207,13.373128,U Bahnsteig Gleis 1 (oben),5656 U Osloer Str. (Berlin),de:11000:900009202,,
de:11000:900009202::4,U Osloer Str. (Berlin),52.557148,13.373341,U Bahnsteig Gleis 2 (oben),5656 U Osloer Str. (Berlin),de:11000:900009202,,
