route_id,trip_id,service_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
10141_109,188924406,970,1173,S+U Potsdamer Platz Bhf (Berlin),1,,2207,1,1
10141_109,188924407,968,1173,S Schöneberg (Berlin),1,,2206,1,1
10141_109,188924409,968,1171,S Zehlendorf (Berlin),1,,2205,1,1
10141_109,188924412,364,1165,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924415,967,1161,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924418,248,1057,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924419,248,1051,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924423,962,1071,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924424,963,1069,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924425,962,1067,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924426,962,1065,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924427,963,1063,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924428,962,1061,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924429,6,1059,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924430,277,1057,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924431,277,1055,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924432,277,1053,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924433,277,1051,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924434,364,1169,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924435,364,1167,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924436,364,1163,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924438,966,1159,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924439,965,1157,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924440,965,1155,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924441,965,1153,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924442,965,1151,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924443,963,1149,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924444,963,1147,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924445,963,1145,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924446,963,1143,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924447,963,1141,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924448,963,1139,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924449,963,1137,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924450,963,1135,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924451,963,1133,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924452,963,1131,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924453,963,1129,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924454,963,1127,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924455,963,1125,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924456,963,1123,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924457,963,1121,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924458,963,1119,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924459,963,1117,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924460,963,1115,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924461,963,1113,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924462,963,1111,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924463,963,1109,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924464,963,1107,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924465,963,1105,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924466,963,1103,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924467,963,1101,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924468,963,1099,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924469,963,1097,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924470,963,1095,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924471,963,1093,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924472,963,1091,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924473,963,1089,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924474,963,1087,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924475,963,1085,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924476,963,1083,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924477,963,1081,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924478,963,1079,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924479,963,1077,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924480,963,1075,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924481,963,1073,S Wannsee Bhf (Berlin),1,,2204,1,1
10141_109,188924484,277,1049,S Wannsee Bhf (Berlin),1,,2203,1,1
10141_109,188924486,277,1047,S Wannsee Bhf (Berlin),1,,2202,1,1
