"Bahnhof (Kürzel)
Karte",Linie,Eröffnung,Lage,Ortsteil,Umstieg,Denkmal,Anmerkungen,Sehenswürdigkeiten,Bild
"Adenauerplatz (Ado)
52° 29′ 59″ N, 13° 18′ 26″ O",,28. Apr. 1978,Tunnel,Charlottenburg,,–,,,
"Afrikanische Straße (Afr)
52° 33′ 38″ N, 13° 20′ 3″ O",,3. Mai 1956,Tunnel,Wedding,,–,,,
"Alexanderplatz (A)
52° 31′ 17″ N, 13° 24′ 48″ O",,1. Juli 1913,Tunnel,Mitte,,Eintrag in der Berliner Landesdenkmalliste,,"Alexa, Fernsehturm, Haus des Lehrers, Urania-Weltzeituhr",
"Alexanderplatz (Al)
52° 31′ 17″ N, 13° 24′ 48″ O",,21. Dez. 1930,Tunnel,Mitte,,Eintrag in der Berliner Landesdenkmalliste,,"Alexa, Fernsehturm, Haus des Lehrers, Urania-Weltzeituhr",
"Alexanderplatz (Ap)
52° 31′ 17″ N, 13° 24′ 48″ O",,18. Apr. 1930,Tunnel,Mitte,,Eintrag in der Berliner Landesdenkmalliste,1961–1990 „Geisterbahnhof“,"Alexa, Fernsehturm, Haus des Lehrers, Urania-Weltzeituhr",
"Altstadt Spandau (AS)
52° 32′ 21″ N, 13° 12′ 20″ O",,1. Okt. 1984,Tunnel,Spandau,,Eintrag in der Berliner Landesdenkmalliste,,Altstadt Spandau mit St.-Nikolai-Kirche,
"Alt-Mariendorf (Mf)
52° 26′ 23″ N, 13° 23′ 15″ O",,28. Feb. 1966,Tunnel,Mariendorf,,Eintrag in der Berliner Landesdenkmalliste,,"Dorfkirche Mariendorf, Trabrennbahn Mariendorf",
"Alt-Tegel (Tg)
52° 35′ 22″ N, 13° 17′ 1″ O",,31. Mai 1958,Tunnel,Tegel,,Eintrag in der Berliner Landesdenkmalliste,1958–1992: *Tegel*,,
"Alt-Tempelhof (At)
52° 27′ 58″ N, 13° 23′ 8″ O",,28. Feb. 1966,Tunnel,Tempelhof,,Eintrag in der Berliner Landesdenkmalliste,,Dorfkirche Tempelhof,
"Amrumer Straße (Am)
52° 32′ 32″ N, 13° 20′ 56″ O",,28. Aug. 1961,Tunnel,Wedding,,–,,"Atze Musiktheater, Beuth Hochschule, Virchow-Klinikum",
"Augsburger Straße (Au)
52° 30′ 2″ N, 13° 20′ 11″ O",,8. Mai 1961,Tunnel,Charlottenburg,,Eintrag in der Berliner Landesdenkmalliste,Als Ersatz für Nürnberger Platz erbaut,,
"Bayerischer Platz (Bpo)
52° 29′ 19″ N, 13° 20′ 24″ O",,1. Dez. 1910,Tunnel,Schöneberg,,Eintrag in der Berliner Landesdenkmalliste,,HWR,
"Bayerischer Platz (Bpu)
52° 29′ 19″ N, 13° 20′ 24″ O",,19. Jan. 1971,Tunnel,Schöneberg,,–,,HWR,
"Berliner Straße (Beo)
52° 29′ 14″ N, 13° 19′ 51″ O",,29. Jan. 1971,Tunnel,Wilmersdorf,,–,,Schwedische Kirche,
"Berliner Straße (Beu)
52° 29′ 14″ N, 13° 19′ 51″ O",,29. Jan. 1971,Tunnel,Wilmersdorf,,–,,Schwedische Kirche,
"Bernauer Straße (B)
52° 32′ 15″ N, 13° 23′ 48″ O",,18. Apr. 1930,Tunnel,Mitte,,Eintrag in der Berliner Landesdenkmalliste,1961–1990 „Geisterbahnhof“,Gedenkstätte Berliner Mauer,
"Biesdorf-Süd (Bü)
52° 29′ 59″ N, 13° 32′ 47″ O",,1. Juli 1988,Plan,Biesdorf,,Eintrag in der Berliner Landesdenkmalliste 2017[1],,,
"Birkenstraße (Bi)
52° 31′ 56″ N, 13° 20′ 29″ O",,28. Aug. 1961,Tunnel,Moabit,,–,,"Stadtgarten Moabit mit erhaltenem Güterschuppen des größtenteils abgebauten 
ehemaligen Güterbahnhofs Moabit",
"Bismarckstraße (Bmo)
52° 30′ 41″ N, 13° 18′ 17″ O",,28. Apr. 1978,Tunnel,Charlottenburg,,–,,,
"Bismarckstraße (Bmu)
52° 30′ 41″ N, 13° 18′ 17″ O",,28. Apr. 1978,Tunnel,Charlottenburg,,–,,,
"Blaschkoallee (Bl)
52° 27′ 6″ N, 13° 26′ 59″ O",,29. Sep. 1963,Tunnel,Britz,,–,,,
"Blissestraße (Bli)
52° 29′ 12″ N, 13° 19′ 19″ O",,29. Jan. 1971,Tunnel,Wilmersdorf,,–,,Volkspark Wilmersdorf,
"Boddinstraße (Bo)
52° 28′ 46″ N, 13° 25′ 32″ O",,17. Juli 1927,Tunnel,Neukölln,,Eintrag in der Berliner Landesdenkmalliste,,,
"Borsigwerke (Bk)
52° 34′ 55″ N, 13° 17′ 27″ O",,31. Mai 1958,Tunnel,Tegel,,Eintrag in der Berliner Landesdenkmalliste,,Borsigturm,
"Brandenburger Tor (BRT)
52° 30′ 59″ N, 13° 22′ 51″ O",,8. Aug. 2009,Tunnel,Mitte,,–,,"Brandenburger Tor, Pariser Platz, Hotel Adlon, Akademie der Künste, Denkmal 
für die ermordeten Juden Europas",
